2025-01-20 17:20:05 - INFO - 🔄 Запуск програми...
2025-01-20 17:20:05 - INFO - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2025-01-20 17:20:05 - INFO - Added job "process_assets" to job store "default"
2025-01-20 17:20:05 - INFO - Scheduler started
2025-01-20 17:20:05 - INFO - 📅 Розклад завдань запущено: кожні 15 хвилин.
2025-01-20 17:20:05 - INFO - 🔄 Виконання першого завдання...
2025-01-20 17:20:05 - INFO - 🔢 Загальна кількість пар для обробки: 3001
2025-01-20 17:20:05 - INFO - 🔢 Кількість унікальних активів для обробки: 215
2025-01-20 17:20:12 - INFO - 🔄 Запуск програми...
2025-01-20 17:20:12 - INFO - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2025-01-20 17:20:12 - INFO - Added job "process_assets" to job store "default"
2025-01-20 17:20:12 - INFO - Scheduler started
2025-01-20 17:20:12 - INFO - 📅 Розклад завдань запущено: кожні 15 хвилин.
2025-01-20 17:20:12 - INFO - 🔄 Виконання першого завдання...
2025-01-20 17:20:12 - INFO - 🔢 Загальна кількість пар для обробки: 3001
2025-01-20 17:20:12 - INFO - 🔢 Кількість унікальних активів для обробки: 215
2025-01-20 17:20:18 - INFO - ✅ Дані для API3 успішно збережено в базу.
2025-01-20 17:20:18 - INFO - ✅ Дані для ILV успішно збережено в базу.
2025-01-20 17:20:19 - INFO - ✅ Дані для ARPA успішно збережено в базу.
2025-01-20 17:20:26 - INFO - ✅ Дані для WOO успішно збережено в базу.
2025-01-20 17:20:28 - INFO - ✅ Дані для SLP успішно збережено в базу.
2025-01-20 17:20:28 - INFO - ✅ Дані для ARK успішно збережено в базу.
2025-01-20 17:20:28 - INFO - ✅ Дані для DYM успішно збережено в базу.
2025-01-20 17:20:28 - INFO - ✅ Дані для CHZ успішно збережено в базу.
2025-01-20 17:20:28 - INFO - ✅ Дані для AUDIO успішно збережено в базу.
2025-01-20 17:20:29 - INFO - ✅ Дані для LRC успішно збережено в базу.
2025-01-20 17:20:29 - INFO - ✅ Дані для SNX успішно збережено в базу.
2025-01-20 17:20:29 - INFO - ✅ Дані для NTRN успішно збережено в базу.
2025-01-20 17:20:29 - INFO - ✅ Дані для MAGIC успішно збережено в базу.
2025-01-20 17:20:29 - INFO - ✅ Дані для LINK успішно збережено в базу.
2025-01-20 17:20:29 - INFO - ✅ Дані для LDO успішно збережено в базу.
2025-01-20 17:20:30 - INFO - ✅ Дані для OGN успішно збережено в базу.
2025-01-20 17:20:30 - INFO - ✅ Дані для QNT успішно збережено в базу.
2025-01-20 17:20:30 - INFO - ✅ Дані для CELR успішно збережено в базу.
2025-01-20 17:20:30 - INFO - ✅ Дані для USTC успішно збережено в базу.
2025-01-20 17:20:30 - INFO - ✅ Дані для ONE успішно збережено в базу.
2025-01-20 17:20:31 - INFO - ✅ Дані для CFX успішно збережено в базу.
2025-01-20 17:20:31 - INFO - ✅ Дані для ID успішно збережено в базу.
2025-01-20 17:20:31 - INFO - ✅ Дані для FLOKI успішно збережено в базу.
2025-01-20 17:20:31 - INFO - ✅ Дані для SEI успішно збережено в базу.
2025-01-20 17:20:31 - INFO - ✅ Дані для APE успішно збережено в базу.
2025-01-20 17:20:32 - INFO - ✅ Дані для SUSHI успішно збережено в базу.
2025-01-20 17:20:32 - INFO - ✅ Дані для C98 успішно збережено в базу.
2025-01-20 17:20:32 - INFO - ✅ Дані для JASMY успішно збережено в базу.
2025-01-20 17:20:32 - INFO - ✅ Дані для ORDI успішно збережено в базу.
2025-01-20 17:20:32 - INFO - ✅ Дані для XRP успішно збережено в базу.
2025-01-20 17:20:32 - INFO - ✅ Дані для UMA успішно збережено в базу.
2025-01-20 17:20:33 - INFO - ✅ Дані для SC успішно збережено в базу.
2025-01-20 17:20:33 - INFO - ✅ Дані для FXS успішно збережено в базу.
2025-01-20 17:20:33 - INFO - ✅ Дані для RDNT успішно збережено в базу.
2025-01-20 17:20:33 - INFO - ✅ Дані для DAR успішно збережено в базу.
2025-01-20 17:20:33 - INFO - ✅ Дані для PYTH успішно збережено в базу.
2025-01-20 17:20:33 - INFO - ✅ Дані для POWR успішно збережено в базу.
2025-01-20 17:20:33 - INFO - ✅ Дані для PEPE успішно збережено в базу.
2025-01-20 17:20:34 - INFO - ✅ Дані для MASK успішно збережено в базу.
2025-01-20 17:20:34 - INFO - ✅ Дані для CYBER успішно збережено в базу.
2025-01-20 17:20:34 - INFO - ✅ Дані для GAS успішно збережено в базу.
2025-01-20 17:20:34 - INFO - ✅ Дані для MEME успішно збережено в базу.
2025-01-20 17:20:34 - INFO - ✅ Дані для MANA успішно збережено в базу.
2025-01-20 17:20:35 - INFO - ✅ Дані для SAND успішно збережено в базу.
2025-01-20 17:20:35 - INFO - ✅ Дані для CVC успішно збережено в базу.
2025-01-20 17:20:35 - INFO - ✅ Дані для RAD успішно збережено в базу.
2025-01-20 17:20:35 - INFO - ✅ Дані для CTSI успішно збережено в базу.
2025-01-20 17:20:35 - INFO - ✅ Дані для LSK успішно збережено в базу.
2025-01-20 17:20:35 - INFO - ✅ Дані для XTZ успішно збережено в базу.
2025-01-20 17:20:36 - INFO - ✅ Дані для AI успішно збережено в базу.
2025-01-20 17:20:36 - INFO - ✅ Дані для AR успішно збережено в базу.
2025-01-20 17:20:36 - INFO - ✅ Дані для DODO успішно збережено в базу.
2025-01-20 17:20:36 - INFO - ✅ Дані для TIA успішно збережено в базу.
2025-01-20 17:20:37 - INFO - ✅ Дані для CELO успішно збережено в базу.
2025-01-20 17:20:37 - INFO - ✅ Дані для MINA успішно збережено в базу.
2025-01-20 17:20:37 - INFO - ✅ Дані для BCH успішно збережено в базу.
2025-01-20 17:20:37 - INFO - ✅ Дані для BNT успішно збережено в базу.
2025-01-20 17:20:37 - INFO - ✅ Дані для FIL успішно збережено в базу.
2025-01-20 17:20:37 - INFO - ✅ Дані для TRB успішно збережено в базу.
2025-01-20 17:20:38 - INFO - ✅ Дані для COS успішно збережено в базу.
2025-01-20 17:20:38 - INFO - ✅ Дані для RUNE успішно збережено в базу.
2025-01-20 17:20:38 - INFO - ✅ Дані для ETH успішно збережено в базу.
2025-01-20 17:20:38 - INFO - ✅ Дані для HIGH успішно збережено в базу.
2025-01-20 17:20:38 - INFO - ✅ Дані для COTI успішно збережено в базу.
2025-01-20 17:20:38 - INFO - ✅ Дані для IOST успішно збережено в базу.
2025-01-20 17:20:39 - INFO - ✅ Дані для QTUM успішно збережено в базу.
2025-01-20 17:20:39 - INFO - ✅ Дані для ASTR успішно збережено в базу.
2025-01-20 17:20:39 - INFO - ✅ Дані для MAV успішно збережено в базу.
2025-01-20 17:20:39 - INFO - ✅ Дані для ACE успішно збережено в базу.
2025-01-20 17:20:40 - INFO - ✅ Дані для BAKE успішно збережено в базу.
2025-01-20 17:20:40 - INFO - ✅ Дані для AVA успішно збережено в базу.
2025-01-20 17:20:40 - INFO - ✅ Дані для FET успішно збережено в базу.
2025-01-20 17:20:40 - INFO - ✅ Дані для XVS успішно збережено в базу.
2025-01-20 17:20:40 - INFO - ✅ Дані для GLM успішно збережено в базу.
2025-01-20 17:20:40 - INFO - ✅ Дані для FTM успішно збережено в базу.
2025-01-20 17:20:41 - INFO - ✅ Дані для SXP успішно збережено в базу.
2025-01-20 17:20:41 - INFO - ✅ Дані для WIF успішно збережено в базу.
2025-01-20 17:20:41 - INFO - ✅ Дані для VET успішно збережено в базу.
2025-01-20 17:20:41 - INFO - ✅ Дані для TWT успішно збережено в базу.
2025-01-20 17:20:41 - INFO - ✅ Дані для LINA успішно збережено в базу.
2025-01-20 17:20:42 - INFO - ✅ Дані для GMX успішно збережено в базу.
2025-01-20 17:20:42 - INFO - ✅ Дані для IOTX успішно збережено в базу.
2025-01-20 17:20:42 - INFO - ✅ Дані для WLD успішно збережено в базу.
2025-01-20 17:20:42 - INFO - ✅ Дані для CVX успішно збережено в базу.
2025-01-20 17:20:42 - INFO - ✅ Дані для STX успішно збережено в базу.
2025-01-20 17:20:43 - INFO - ✅ Дані для POLYX успішно збережено в базу.
2025-01-20 17:20:43 - INFO - ✅ Дані для ONG успішно збережено в базу.
2025-01-20 17:20:43 - INFO - ✅ Дані для PERP успішно збережено в базу.
2025-01-20 17:20:43 - INFO - ✅ Дані для OXT успішно збережено в базу.
2025-01-20 17:20:43 - INFO - ✅ Дані для DOGE успішно збережено в базу.
2025-01-20 17:20:44 - INFO - ✅ Дані для BAL успішно збережено в базу.
2025-01-20 17:20:44 - INFO - ✅ Дані для JOE успішно збережено в базу.
